# ofcuda_matrix cell africa n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/africa_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/africa_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/africa (1948x2032, land 2183279 from BYTES)
# engine land from manifest 2183279
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x92f9830e35a3aa8d engine_boundary0_hash 0x92f9830e35a3aa8d match yes
per-player owned sets match: yes
engine boundary0 owned_total 25358, port plane owned 25358
BOT 289 sid=291 id=yen0iwte spawn_tile=3573754 n_owned=52
BOT 290 sid=292 id=77ucsgzt spawn_tile=656266 n_owned=52
BOT 291 sid=293 id=4c1d18ro spawn_tile=2909607 n_owned=52
BOT 292 sid=294 id=bz5je7hx spawn_tile=1171236 n_owned=52
BOT 293 sid=295 id=fn7ax8sx spawn_tile=1053233 n_owned=52
BOT 294 sid=296 id=owdtos2u spawn_tile=1771015 n_owned=52
BOT 295 sid=297 id=f33f3rln spawn_tile=2782930 n_owned=52
BOT 296 sid=298 id=shy7v4eo spawn_tile=785846 n_owned=52
BOT 297 sid=299 id=qi05x4jp spawn_tile=746325 n_owned=52
BOT 298 sid=300 id=rtwhvg9g spawn_tile=2851133 n_owned=52
BOT 299 sid=301 id=xebmdu02 spawn_tile=1120329 n_owned=52
BOT 300 sid=302 id=minv0qzi spawn_tile=864777 n_owned=52
BOT 301 sid=303 id=s3tsi6x9 spawn_tile=2611266 n_owned=52
BOT 302 sid=304 id=k4ol3ovv spawn_tile=2285856 n_owned=52
BOT 303 sid=305 id=my4alddo spawn_tile=140055 n_owned=52
BOT 304 sid=306 id=j2kjyzt1 spawn_tile=1082207 n_owned=52
BOT 305 sid=307 id=x5ff4utp spawn_tile=417398 n_owned=52
BOT 306 sid=308 id=lokk2xdf spawn_tile=1570748 n_owned=52
BOT 307 sid=309 id=sylg30cf spawn_tile=1693879 n_owned=52
BOT 308 sid=310 id=sahbcu7b spawn_tile=1963383 n_owned=52
BOT 309 sid=311 id=zuvsbbzm spawn_tile=2888516 n_owned=52
BOT 310 sid=312 id=n4n57mjy spawn_tile=1118526 n_owned=52
BOT 311 sid=313 id=8s3w15kq spawn_tile=3014898 n_owned=52
BOT 312 sid=314 id=a6z0gp5d spawn_tile=757045 n_owned=52
BOT 313 sid=315 id=momzwuew spawn_tile=1794815 n_owned=52
BOT 314 sid=316 id=swknlr19 spawn_tile=1461602 n_owned=52
BOT 315 sid=317 id=68tli42a spawn_tile=3184341 n_owned=52
BOT 316 sid=318 id=43wn7pvq spawn_tile=679766 n_owned=52
BOT 317 sid=319 id=ssod81st spawn_tile=715718 n_owned=52
BOT 318 sid=320 id=9fudx3o3 spawn_tile=2930765 n_owned=52
BOT 319 sid=321 id=cm4ig7bz spawn_tile=1555606 n_owned=52
BOT 320 sid=322 id=ajwm3pcu spawn_tile=1476899 n_owned=52
BOT 321 sid=323 id=wcn2fdks spawn_tile=1194773 n_owned=52
BOT 322 sid=324 id=0a4r00hz spawn_tile=3581777 n_owned=52
BOT 323 sid=325 id=548y287t spawn_tile=3488141 n_owned=52
BOT 324 sid=326 id=rkqmpoqo spawn_tile=620480 n_owned=52
BOT 325 sid=327 id=nrv83khf spawn_tile=1266845 n_owned=52
BOT 326 sid=328 id=00wyr0st spawn_tile=522934 n_owned=52
BOT 327 sid=329 id=dhvz0u2j spawn_tile=883498 n_owned=52
BOT 328 sid=330 id=87uy1srx spawn_tile=1143102 n_owned=52
BOT 329 sid=331 id=26wgkglj spawn_tile=769306 n_owned=52
BOT 330 sid=332 id=s4otxlhb spawn_tile=262953 n_owned=52
BOT 331 sid=333 id=65ikynwk spawn_tile=2886185 n_owned=52
BOT 332 sid=334 id=goxpy54y spawn_tile=3766711 n_owned=52
BOT 333 sid=335 id=etvrjl78 spawn_tile=2430668 n_owned=52
BOT 334 sid=336 id=y58lji80 spawn_tile=3034564 n_owned=52
BOT 335 sid=337 id=13dy28ag spawn_tile=587573 n_owned=52
BOT 336 sid=338 id=0dg1h5h5 spawn_tile=1344340 n_owned=52
BOT 337 sid=339 id=e9ncqhcw spawn_tile=1607304 n_owned=52
BOT 338 sid=340 id=uhxjrdbv spawn_tile=2344 n_owned=34
BOT 339 sid=341 id=gv359a4k spawn_tile=268641 n_owned=52
BOT 340 sid=342 id=p4ehczm2 spawn_tile=919576 n_owned=52
BOT 341 sid=343 id=p2xbynef spawn_tile=1463443 n_owned=52
BOT 342 sid=344 id=co561w2j spawn_tile=1731428 n_owned=52
BOT 343 sid=345 id=wz0zkd1s spawn_tile=3624353 n_owned=52
BOT 344 sid=346 id=m7jnfagf spawn_tile=67777 n_owned=52
BOT 345 sid=347 id=rq439wc6 spawn_tile=542681 n_owned=52
