iceland	4x	1000x750	264736	264736	0x420668f07f248f16	OK
iceland	16x	500x375	64964	64964	0x850ebf9193a3ddf1	OK
indiansubcontinent	normal	2000x2220	2113509	2113509	0xa4a73db56a455b76	OK
indiansubcontinent	4x	1000x1110	519188	519188	0x3180a58c74e2ae7e	OK
indiansubcontinent	16x	500x555	125915	125915	0x8870064bbc86ea1b	OK
italia	normal	1360x1272	775663	775663	0x7d2410ce72bac2b2	OK
italia	4x	680x636	191249	191249	0xdaae0768a3762f08	OK
italia	16x	340x318	46701	46701	0xfad9b6d934bc976c	OK
japan	normal	2500x2500	478894	478894	0x75c045a78ae690ae	OK
japan	4x	1250x1250	116922	116922	0xd5d549f48d2cc063	OK
japan	16x	625x625	28027	28027	0xfcd4c7d62ee5580c	OK
juandefucastrait	normal	3000x1100	1666141	1666141	0x27c31912b6ebdd38	OK
juandefucastrait	4x	1500x550	410851	410851	0x1713f56f052df561	OK
juandefucastrait	16x	750x275	100385	100385	0x480bfe24bdab2b99	OK
korea	normal	1092x2148	1193914	1193914	0xdfcfe7ce123a7137	OK
korea	4x	546x1074	294064	294064	0x3ebc574eeb9a640a	OK
korea	16x	273x537	71922	71922	0x071ffa7ca18dc980	OK
labyrinth	normal	1360x1360	1524448	1524448	0x7c58ecbeaf37ae7c	OK
labyrinth	4x	680x680	372162	372162	0x9e273cc004f7a34a	OK
labyrinth	16x	340x340	88437	88437	0x3576726c9fcde495	OK
lemnos	normal	1748x1420	874763	874763	0x71e51282fc741b2f	OK
lemnos	4x	874x710	216496	216496	0xc453d709251cf749	OK
lemnos	16x	437x355	53102	53102	0x807d39d31266fbd7	OK
levant	normal	2000x2000	2173100	2173100	0xe6875178c53f9840	OK
levant	4x	1000x1000	539922	539922	0x45e21dc55f208d92	OK
levant	16x	500x500	133459	133459	0x46f154d1ae0d26b6	OK
lisbon	normal	1600x1600	1495857	1495857	0xa8399d1d18732f3d	OK
lisbon	4x	800x800	369114	369114	0xc3e44fd6c1e25876	OK
lisbon	16x	400x400	90186	90186	0x0df497cee5be9c35	OK
losangeles	normal	1800x2276	2066165	2055581	0xbcb28f6454d3176f	OK
losangeles	4x	900x1138	508396	505680	0x04098be998b110f5	OK
losangeles	16x	450x569	123162	122366	0xe26215dd8260f8e1	OK
luna	normal	1308x3508	1517614	1517614	0x6eae9ad7f8036c29	OK
luna	4x	654x1754	363006	363006	0x9668c084ae0fad8d	OK
luna	16x	327x877	84663	84663	0xcf4758513eb1b72f	OK
manicouagan	normal	1600x1600	1992029	1992029	0xe9978f6e06263019	OK
manicouagan	4x	800x800	489928	489928	0x4c8d373811a4784b	OK
manicouagan	16x	400x400	118914	118914	0x2c41969483f4b802	OK
marenostrum	normal	2848x1448	2644620	2644620	0x60e6ff672cdf3956	OK
marenostrum	4x	1424x724	652112	652112	0x6fdf162c88f6ca3f	OK
marenostrum	16x	712x362	159247	159247	0xfa785049d4303d9c	OK
mars	normal	2000x1000	1354047	1354047	0xd6a314b4a17b12e5	OK
mars	4x	1000x500	335749	335749	0x6f4e8e7cc520601b	OK
mars	16x	500x250	82762	82762	0x46f413c299b986e3	OK
mena	normal	2200x964	1621317	1621317	0x4bbda760adeb2ddb	OK
mena	4x	1100x482	400304	400304	0xf392ca32e35472e3	OK
