# ofcuda_matrix cell onion n=488 nations=0 ticks=60
# engine oracle /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/oracle/onion_n488_nat0_t60.dump
# spawn init    /opt/data/workspaces/skg/ofcuda_matrix/out/matrix/refs/onion_a488_nat0.init.txt
# map          /opt/data/workspaces/skg/openfront-ai/openfront/resources/maps/onion (512x512, land 210555 from BYTES)
# engine land from manifest 210555
### INIT (engine spawn output vs the CUDA spawn/init dump)
init_plane_hash 0x0544019e73d55172 engine_boundary0_hash 0x0544019e73d55172 match yes
per-player owned sets match: yes
engine boundary0 owned_total 15655, port plane owned 15655
BOT 88 sid=90 id=kqu8z0ef spawn_tile=58768 n_owned=52
BOT 89 sid=91 id=bdv4tpd7 spawn_tile=201014 n_owned=52
BOT 90 sid=92 id=ok13k4z3 spawn_tile=1575 n_owned=48
BOT 91 sid=93 id=hkwcx197 spawn_tile=252798 n_owned=52
BOT 92 sid=94 id=ko4t02h4 spawn_tile=119039 n_owned=52
BOT 93 sid=95 id=a769y4e5 spawn_tile=79825 n_owned=52
BOT 94 sid=96 id=po0wxlw1 spawn_tile=94591 n_owned=52
BOT 95 sid=97 id=o8264l3e spawn_tile=230817 n_owned=52
BOT 96 sid=98 id=9rke6fm3 spawn_tile=200809 n_owned=52
BOT 97 sid=99 id=gyjc9x52 spawn_tile=226242 n_owned=52
BOT 98 sid=100 id=x793lc6c spawn_tile=77853 n_owned=52
BOT 99 sid=101 id=93k3li8n spawn_tile=208154 n_owned=52
BOT 100 sid=102 id=a1hte6qb spawn_tile=23560 n_owned=52
BOT 101 sid=103 id=jklgnd18 spawn_tile=5446 n_owned=52
BOT 102 sid=104 id=vfadfhgj spawn_tile=238700 n_owned=52
BOT 103 sid=105 id=cwni1kcb spawn_tile=1533 n_owned=38
BOT 104 sid=106 id=8z4z0zds spawn_tile=169574 n_owned=52
BOT 105 sid=107 id=cdzck1ki spawn_tile=127906 n_owned=52
BOT 106 sid=108 id=zbaa3l3a spawn_tile=187797 n_owned=52
BOT 107 sid=109 id=xm369xbs spawn_tile=203111 n_owned=52
BOT 108 sid=110 id=e4dqhzo1 spawn_tile=131056 n_owned=52
BOT 109 sid=111 id=fepimk2i spawn_tile=49361 n_owned=52
BOT 110 sid=112 id=o2es7ebc spawn_tile=221016 n_owned=52
BOT 111 sid=113 id=l4opv4e9 spawn_tile=92135 n_owned=52
BOT 112 sid=114 id=4b3f45hy spawn_tile=21250 n_owned=52
BOT 113 sid=115 id=r3pvfglh spawn_tile=34750 n_owned=52
BOT 114 sid=116 id=fnl5ocw8 spawn_tile=24879 n_owned=52
BOT 115 sid=117 id=7391zjkf spawn_tile=109485 n_owned=52
BOT 116 sid=118 id=ow5basj8 spawn_tile=84645 n_owned=52
BOT 117 sid=119 id=olinuy4r spawn_tile=139456 n_owned=52
BOT 118 sid=120 id=2e2jcypv spawn_tile=8859 n_owned=52
BOT 119 sid=121 id=nx0it9ss spawn_tile=121741 n_owned=52
BOT 120 sid=122 id=tt57j91k spawn_tile=13279 n_owned=52
BOT 121 sid=123 id=87aoci2n spawn_tile=18063 n_owned=52
